codprov,province,popsharewomen_agegroup1_1970,popsharewomen_agegroup2_1970,popsharemen_agegroup1_1970,popsharemen_agegroup2_1970,popsharewomen_agegroup1_1960,popsharewomen_agegroup2_1960,popsharemen_agegroup1_1960,popsharemen_agegroup2_1960,source_page_viii,raw_chunk_viii,parsed_token_count_viii,active_total_1950,agri_total_1950,mining_total_1950,manufacturing_total_1950,construction_total_1950,utilities_total_1950,commerce_total_1950,transport_total_1950,services_total_1950,unspecified_total_1950,sector_sum_viii,sector_gap_viii,sector_gap_share_viii,usable_viii,source_page_viii_cap,raw_chunk_viii_cap,parsed_token_count_viii_cap,active_total_1950_cap,agri_total_1950_cap,mining_total_1950_cap,manufacturing_total_1950_cap,construction_total_1950_cap,utilities_total_1950_cap,commerce_total_1950_cap,transport_total_1950_cap,services_total_1950_cap,unspecified_total_1950_cap,sector_sum_viii_cap,sector_gap_viii_cap,sector_gap_share_viii_cap,usable_viii_cap,agri_share_1950,mining_share_1950,manufacturing_share_1950,construction_share_1950,utilities_share_1950,commerce_share_1950,transport_share_1950,services_share_1950,unspecified_share_1950,industrial_core_share_1950,oil_sensitive_share_1950,manuf_trade_share_1950,nonag_share_1950,agri_share_1950_cap,mining_share_1950_cap,manufacturing_share_1950_cap,construction_share_1950_cap,utilities_share_1950_cap,commerce_share_1950_cap,transport_share_1950_cap,services_share_1950_cap,unspecified_share_1950_cap,industrial_core_share_1950_cap,oil_sensitive_share_1950_cap,manuf_trade_share_1950_cap,nonag_share_1950_cap,active_total_1950_rest,agri_total_1950_rest,mining_total_1950_rest,manufacturing_total_1950_rest,construction_total_1950_rest,utilities_total_1950_rest,commerce_total_1950_rest,transport_total_1950_rest,services_total_1950_rest,unspecified_total_1950_rest,sector_sum_viii_rest,sector_gap_viii_rest,sector_gap_share_viii_rest,usable_viii_rest_strict,usable_viii_rest_soft,usable_viii_rest,agri_share_1950_rest,mining_share_1950_rest,manufacturing_share_1950_rest,construction_share_1950_rest,utilities_share_1950_rest,commerce_share_1950_rest,transport_share_1950_rest,services_share_1950_rest,unspecified_share_1950_rest,industrial_core_share_1950_rest,oil_sensitive_share_1950_rest,manuf_trade_share_1950_rest,nonag_share_1950_rest,female_young_share_1960,female_young_share_1970,male_young_share_1960,male_young_share_1970,proxy_usable_pre73,proxy_usable_pre73_cap,proxy_usable_pre73_rest
1.0,alava,0.10068974,0.18751444,0.10517069,0.19204432,0.094330885,0.17179628,0.105031975,0.18403998,1.0,46.966 19.684 166 10.731 3.062 187 2.963 1.622 8 .053 498 Var0nes 40.534 19.033 166 9.303 3.032 187 2.416 1.491 4.428 478,10,46966.0,19684.0,166.0,10731.0,3062.0,187.0,2963.0,1622.0,8053.0,498.0,46966.0,0.0,0.0,1,1.0,21.576 2.428 21 7.477 2.004 83 2.457 994 6.029 83 Var0nes 16.754 2 .337 21 6.201 1.984 83 1.973 883 3.189 83,10,21576.0,2428.0,21.0,7477.0,2004.0,83.0,2457.0,994.0,6029.0,83.0,21576.0,0.0,0.0,1,0.41911169782395774,0.0035344717455180344,0.22848443554912065,0.06519609930588086,0.0039816037133245325,0.06308819145765021,0.03453562151343525,0.1714644636545586,0.010603415236554102,0.2936805348550015,0.3321977600817613,0.29157262700677083,0.5808883021760423,0.11253244345569151,0.0009733036707452725,0.34654245457916205,0.092880978865406,0.0038468668891360773,0.11387652947719688,0.0460697070819429,0.2794308490915832,0.0038468668891360773,0.439423433444568,0.48934000741564704,0.4604189840563589,0.8874675565443085,25390.0,17256.0,145.0,3254.0,1058.0,104.0,506.0,628.0,2024.0,415.0,25390.0,0.0,0.0,1.0,0.0,1.0,0.6796376526191414,0.005710909807010634,0.1281606931862938,0.04166994879873966,0.004096100827097282,0.019929105947223316,0.024734147302087436,0.07971642378889326,0.016345017723513194,0.16983064198503348,0.1986608901142182,0.14808979913351714,0.32036234738085856,0.26612717,0.2882042,0.28907195,0.297215,1,1,1.0
2.0,albacete,0.09712123,0.19102375,0.1019939,0.20609753,0.10149517,0.18128762,0.107293814,0.19266884,1.0,138.634 91 .629 421 15.597 6 .257 260 6.984 4 .843 12.122 521 Var0nes 130.237 90.989 411 13.454 6.257 250 6.446 4.752 7.167 511,10,138634.0,91629.0,421.0,15597.0,6257.0,260.0,6984.0,4843.0,12122.0,521.0,138634.0,0.0,0.0,1,1.0,24.353 8.213 - 3.606 1.979 61 2.896 2.142 5.324 132 Var0nes 21.385 8.069 3 .380 1.979 51 2.598 2.091 3.095 12 1i,10,24353.0,8213.0,0.0,3606.0,1979.0,61.0,2896.0,2142.0,5324.0,132.0,24353.0,0.0,0.0,1,0.6609417603185366,0.0030367730859673673,0.11250486893547038,0.045133228500944936,0.0018754418108112008,0.050377252333482406,0.034933710345225556,0.0874388678102053,0.003758096859356291,0.1576380974364153,0.19444724959245208,0.1628821212689528,0.3390582396814634,0.3372479776618897,0.0,0.1480721061060239,0.08126308873650064,0.0025048248675727837,0.11891758715558658,0.08795630928427708,0.2186178294255328,0.005420276762616515,0.22933519484252454,0.31979632899437443,0.2669896932616105,0.6627520223381103,114281.0,83416.0,421.0,11991.0,4278.0,199.0,4088.0,2701.0,6798.0,389.0,114281.0,0.0,0.0,1.0,0.0,1.0,0.7299201092045047,0.0036839019609558894,0.10492557818009993,0.03743404415432137,0.001741321829525468,0.0357714755733674,0.023634724932403463,0.059484953754342366,0.0034038904104794323,0.1423596223344213,0.16773566909635024,0.14069705375346733,0.2700798907954953,0.2827828,0.28814498,0.29996264,0.30809143,1,1,1.0
3.0,alicante,0.09741929,0.17602098,0.10469236,0.19215368,0.089664325,0.15673448,0.10038153,0.17122161,2.0,246.332 109 .327 2 .331 66 .884 9 .623 1.266 15 .968 9 .643 25 .088 6 .20 2 Var0nes 208.588 100 .994 2 .291 50 .441 9 .561 1.256 14 .375 9 .413 14 .949 5 .308,10,246332.0,109327.0,2331.0,66884.0,9623.0,1266.0,15968.0,9643.0,25088.0,6202.0,246332.0,0.0,0.0,1,2.0,38.643 3 .544 160 9 .288 3 .454 571 6 .042 4 .514 9 .981 1.08 9 Var0nes 31.515 3 .454 160 7 .598 3 .424 561 5 .386 4 .425 5 .716 79 1,10,38643.0,3544.0,160.0,9288.0,3454.0,571.0,6042.0,4514.0,9981.0,1089.0,38643.0,0.0,0.0,1,0.4438197229754965,0.009462838770439894,0.2715197375899193,0.03906516408749168,0.005139405355374048,0.06482308429274312,0.03914635532533329,0.10184628874851825,0.025177402854683922,0.310584901677411,0.3548706623581183,0.3363428218826624,0.5561802770245035,0.09171130605801826,0.004140465284786378,0.24035400978184923,0.08938229433532593,0.014776285485081387,0.1563543203167456,0.11681287684703569,0.25828740004658024,0.028181041844577284,0.3297363041171752,0.46132546644929223,0.39670833009859485,0.9082886939419818,207689.0,105783.0,2171.0,57596.0,6169.0,695.0,9926.0,5129.0,15107.0,5113.0,207689.0,0.0,0.0,1.0,0.0,1.0,0.5093336671658104,0.010453129438728097,0.2773184906278137,0.029703065641415772,0.003346349590011989,0.04779261299346619,0.024695578485138838,0.07273856583641887,0.024618540221196115,0.30702155626922945,0.3350634843443803,0.3251111036212799,0.4906663328341896,0.2463988,0.27344027,0.27160314,0.29684603,1,1,1.0
4.0,almeria,0.099468,0.19682464,0.10752033,0.21415044,0.10394183,0.19001247,0.117508106,0.21571577,3.0,122.640 78 .682 3.687 9.318 4.339 563 5.828 3.631 14.409 2.183 Var0nes 111.353 76 .141 3.637 8.399 4.299 553 5.172 3.440 7 .872 1.840,10,122640.0,78682.0,3687.0,9318.0,4339.0,563.0,5828.0,3631.0,14409.0,2183.0,122640.0,0.0,0.0,1,3.0,26.087 5.835 154 3.860 2.702 379 3.133 2.038 7 .147 839 Var0nes 21.662 5.733 154 3.450 2.682 369 2 .774 1.925 3 .992 583,10,26087.0,5835.0,154.0,3860.0,2702.0,379.0,3133.0,2038.0,7147.0,839.0,26087.0,0.0,0.0,1,0.6415688193085454,0.030063600782778865,0.0759784735812133,0.035379973907371166,0.004590671885192433,0.04752120026092629,0.029606979778212656,0.11749021526418786,0.01780006523157208,0.11135844748858448,0.14555609915198955,0.1234996738421396,0.35843118069145463,0.22367462720895465,0.005903323494460842,0.14796642005596658,0.1035764940391766,0.0145283091194848,0.12009813316977805,0.07812320312799478,0.27396787672020545,0.032161613063978224,0.2515429140951432,0.34419442634262276,0.26806455322574463,0.7763253727910453,96553.0,72847.0,3533.0,5458.0,1637.0,184.0,2695.0,1593.0,7262.0,1344.0,96553.0,0.0,0.0,1.0,0.0,1.0,0.7544768158420764,0.036591302186363965,0.056528538730023926,0.016954418816608495,0.0019056891033939908,0.027912131161123944,0.01649871055275341,0.0752125775480824,0.013919816059573499,0.07348295754663242,0.09188735720277982,0.08444066989114787,0.24552318415792362,0.2939543,0.29629263,0.33322388,0.32167077,1,1,1.0
5.0,avila,0.070380956,0.1725444,0.070748724,0.18270399,0.091880396,0.19070227,0.09410337,0.20846196,4.0,86.613 62 770 285 4 .426 3.015 398 3.199 .881 9.840 799 751 Var0nes 80.883 61.509 285 4.125 2.976 398 2.995 1.842 6.002 48,10,86613.0,62770.0,285.0,4426.0,3015.0,398.0,3199.0,1881.0,9840.0,799.0,86613.0,0.0,0.0,1,4.0,ÁV1LA (iipit11 . . 7.166 342 31 768 1.015 52 1.032 1 765 3.15 1 1.990 10 10 Var0nes 5.792 342 31 642 1.015 52 964 68 746 19 1.161 -,10,7166.0,342.0,31.0,768.0,1015.0,52.0,1032.0,765.0,3151.0,10.0,7166.0,0.0,0.0,1,0.7247179984528881,0.0032904991167607635,0.051100874002747855,0.03481001697204807,0.004595153152529066,0.03693440938427257,0.02171729417062104,0.11360881161026636,0.00922494313786614,0.08591089097479593,0.11222333829794603,0.08803528338702042,0.2752820015471119,0.047725369801842034,0.004325983812447669,0.10717276025676807,0.14164108289143176,0.007256488975718672,0.1440133965950321,0.10675411666201508,0.439715322355568,0.0013954786491766676,0.24881384314819982,0.36282444878593356,0.2511861568518002,0.952274630198158,79447.0,62428.0,254.0,3658.0,2000.0,346.0,2167.0,1116.0,6689.0,789.0,79447.0,0.0,0.0,1.0,0.0,1.0,0.7857817161126286,0.0031970999534280714,0.0460432741324405,0.025174015381323397,0.004355104660968948,0.0272760456656639,0.014047100582778456,0.08419449444283611,0.00993114906793208,0.0712172895137639,0.0896194947575113,0.0733193197981044,0.2142182838873714,0.28258267,0.24292536,0.30256534,0.25345272,1,1,1.0
6.0,badajoz,0.08814702,0.1930169,0.093722835,0.2057881,,,,,4.0,286.181 205.055 1.330 22 .869 9.168 473 10 .743 4.926 30 .651 6.876 966 836 Var0nes 266.183 221.810 1.310 21.060 9.138 403 9.944 4.746 ¡3 .775 130,10,286181.0,205055.0,1330.0,22869.0,9168.0,473.0,10743.0,4926.0,30651.0,966.0,286181.0,0.0,0.0,1,5.0,29.228 11.891 10 2.868 2 .5E5 105 2.441 742 8 .471 115 Var0nes 24.395 11.729 10 2.503 2 .555 105 2.157 691 4 .450 105,10,29228.0,11891.0,10.0,2868.0,2585.0,105.0,2441.0,742.0,8471.0,115.0,29228.0,0.0,0.0,1,0.7165220612130085,0.004647408458283394,0.0799109654379571,0.03203566973349034,0.0016528001509534176,0.037539179749878575,0.017212882756018046,0.10710354635702579,0.003375486143384781,0.11194663517144744,0.1308123180784189,0.11745014518783567,0.28347793878699146,0.406835910770494,0.0003421376762009032,0.09812508553441905,0.08844258929793349,0.003592445600109484,0.08351580676064048,0.02538661557410702,0.2898248255097851,0.003934583276310387,0.18656767483235254,0.21554673600656904,0.18164089229505953,0.593164089229506,256953.0,193164.0,1320.0,20001.0,6583.0,368.0,8302.0,4184.0,22180.0,851.0,256953.0,0.0,0.0,1.0,0.0,1.0,0.7517483742162964,0.005137126244877468,0.07783913789681382,0.02561947126517301,0.0014321685288749303,0.03230941067043389,0.016283133491338884,0.08631928796316836,0.003311889723023277,0.10345860916198682,0.12117391118220064,0.1101485485672477,0.24825162578370363,,0.28116393,,0.29951096,1,1,1.0
7.0,baleares,0.086372964,0.14748907,0.09681519,0.16149606,0.07012644,0.13112247,0.07776235,0.1486669,6.0,175.538 70 .437 1.853 43 .389 12.445 716 11.550 j 5.929 28.054 1.165 Var0nes 142.542 63.956 1.813 31 .287 12.355 686 9.712 E 5.819 15.818 1.096,10,175538.0,70437.0,1853.0,43389.0,12445.0,716.0,11550.0,5929.0,28054.0,1165.0,175538.0,0.0,0.0,1,6.0,56.390 1 6.634 434 16.217 6 .940 383 6.581 3.500 15.187 514 Var0nes 43.853 1 6.013 424 12.479 6.890 373 5.619 3.440 8 .111 504,10,56390.0,16634.0,434.0,16217.0,6940.0,383.0,6581.0,3500.0,15187.0,514.0,66390.0,10000.0,0.17733640716439084,1,0.40126354407592657,0.010556118903029543,0.24717724937050667,0.07089633013934304,0.004078888901548383,0.06579771901240757,0.033776162426369216,0.15981724754753956,0.006636739623329422,0.3180735795098497,0.3559286308377673,0.3129749683829142,0.5987364559240734,0.29498137967724775,0.007696400070934563,0.28758645149849266,0.12307146657208724,0.006791984394396169,0.11670508955488562,0.0620677425075368,0.2693208015605604,0.00911509132824969,0.4106579180705799,0.47951764497251287,0.4042915410533783,0.7050186203227522,119148.0,53803.0,1419.0,27172.0,5505.0,333.0,4969.0,2429.0,12867.0,651.0,109148.0,-10000.0,0.08392923087252828,1.0,0.0,1.0,0.4515644408634639,0.011909557860811763,0.22805250612683386,0.04620304159532682,0.0027948433880551917,0.04170443482055931,0.02038641017893712,0.10799174136368214,0.005463792929801591,0.27425554772216065,0.297436801289153,0.26975694094739316,0.5484355591365361,0.20124891,0.23386204,0.22642925,0.25831124,1,1,1.0
8.0,barcelona,0.08923594,0.15762526,0.10064892,0.17567044,0.081464455,0.13378875,0.0947631,0.15738834,,OCR omission in Cuadro VIII,0,,,,,,,,,,,,,,0,,OCR omission in Cuadro VIII,0,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,0.0,0.0,0.0,,,,,,,,,,,,,,0.2152532,0.24686119,0.25215143,0.27631935,0,0,0.0
9.0,burgos,0.07711093,0.18119654,0.08013015,0.19318521,,,,,,OCR omission in Cuadro VIII,0,,,,,,,,,,,,,,0,,OCR omission in Cuadro VIII,0,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,0.0,0.0,0.0,,,,,,,,,,,,,,,0.25830746,,0.27331537,0,0,0.0
10.0,caceres,0.081371225,0.19091265,0.08631811,0.20404163,0.100847,0.18787529,0.11084049,0.20090894,7.0,:. 185.305 139.226 665 11.662 . 4 .884 31 6.196 3.644 18.347 650 Var0nes 176.134 137.339 665 11.235 4 .874 31 5.727 3.47 1 12.284 508,10,185305.0,139226.0,665.0,11662.0,4884.0,31.0,6196.0,3644.0,18347.0,650.0,185305.0,0.0,0.0,1,7.0,14.754 3.770 162 1.965 1.439 - 1.327 1.215 4.865 11 Var0nes 12.473 3.748 162 1.846 1.439 - 1.241 1.172 2.854 11,10,14754.0,3770.0,162.0,1965.0,1439.0,0.0,1327.0,1215.0,4865.0,11.0,14754.0,0.0,0.0,1,0.7513342867164944,0.0035886781252529613,0.06293408164917298,0.026356547313887913,0.0001672917622298373,0.03343676641213135,0.01966487682469442,0.09900974069776855,0.003507730498367556,0.0892906289630609,0.10912279754998516,0.09637084806130433,0.24866571328350562,0.25552392571506033,0.010980073200488003,0.13318422122814152,0.09753287244137183,0.0,0.08994171072251593,0.08235054900366003,0.3297410871628033,0.0007455605259590619,0.23071709366951335,0.3130676426731734,0.22312593195065744,0.7444760742849397,170551.0,135456.0,503.0,9697.0,3445.0,31.0,4869.0,2429.0,13482.0,639.0,170551.0,0.0,0.0,1.0,0.0,1.0,0.7942257741086244,0.0029492644428939143,0.056856893246008525,0.02019923659198715,0.00018176381258391917,0.02854864527326137,0.014242074218269021,0.07904966842762576,0.003746679878745947,0.07705612983799567,0.09147996786884861,0.0854055385192699,0.20577422589137562,0.28872228,0.27228388,0.31174943,0.29035974,1,1,1.0
11.0,cadiz,0.116009705,0.21444547,0.12341393,0.22847192,0.09857769,0.16446012,0.16319513,0.2808914,7.0,: 242.112 101.062 1.440 41 .510 20 .404 870 16.017 10.877 43.620 6.312 Var0nes 212.842 99.371 1.400 37 .403 20 .323 860 14.015 10.541 22 .871 6.058,10,242112.0,101062.0,1440.0,41510.0,20404.0,870.0,16017.0,10877.0,43620.0,6312.0,242112.0,0.0,0.0,1,8.0,"34.340 1.525 61 8 .368 5.042 315 4.055 3.439 8.973 2 .562 Var0nes 28.186 , 1.525 61 7.288 5.131 315 3.415 3 .324 4.696 2 .531",10,34340.0,1525.0,61.0,8368.0,5042.0,315.0,4055.0,3439.0,8973.0,2562.0,34340.0,0.0,0.0,1,0.4174183848797251,0.005947660586835844,0.17144957705524716,0.08427504625958235,0.0035933782712133226,0.06615533306899286,0.04492548902987047,0.18016455194290246,0.026070578905630453,0.2557246233148295,0.30424349061591327,0.23760491012424,0.582581615120275,0.04440885264997088,0.001776354105998835,0.2436808386721025,0.1468258590564939,0.009172976121141527,0.11808386721025044,0.10014560279557368,0.2612987769365172,0.07460687245195108,0.39050669772859636,0.49982527664531157,0.36176470588235293,0.9555911473500291,207772.0,99537.0,1379.0,33142.0,15362.0,555.0,11962.0,7438.0,34647.0,3750.0,207772.0,0.0,0.0,1.0,0.0,1.0,0.479068401902085,0.006637082956317502,0.15951138748243265,0.0739368153552933,0.00267119727393489,0.057572723947403884,0.03579885643878867,0.1667549044144543,0.0180486302292898,0.23344820283772597,0.27191825655044954,0.21708411142983655,0.520931598097915,0.2630378,0.33045518,0.44408652,0.35188586,1,1,1.0
12.0,castellon,0.079374924,0.14999822,0.08441466,0.16726989,0.075501,0.13663921,0.08186094,0.1519064,9.0,130 .78 9 83.839 313 20.554 3 .769 555 5 .733 3.618 12.156 252 Var0nes 115 .925 80.197 313 15.237 3 .729 545 5 .052 3.456 7.164 232,10,130789.0,83839.0,313.0,20554.0,3769.0,555.0,5733.0,3618.0,12156.0,252.0,130789.0,0.0,0.0,1,9.0,20.787 6.155 42 4.507 1.166 187 2 .374 1.143 5.119 .94 Var0nes 16.430 5.862 42 3.196 1.156 177 2 .061 1.093 2.749 94,10,20787.0,6155.0,42.0,4507.0,1166.0,187.0,2374.0,1143.0,5119.0,94.0,20787.0,0.0,0.0,1,0.6410248568304674,0.0023931676211302174,0.15715388908853192,0.028817408191820413,0.0042434761333139635,0.04383396157169181,0.027662876847441297,0.09294359617399017,0.0019267675416128269,0.18597129728035233,0.21787765026110759,0.20098785066022373,0.3589751431695326,0.2960985231154087,0.002020493577716842,0.21681820368499544,0.05609275027661519,0.008996007119834512,0.11420599413094723,0.05498628950786549,0.24625968153172656,0.0045220570548900755,0.27291095396161064,0.33689325058931063,0.33102419781594267,0.7039014768845913,110002.0,77684.0,271.0,16047.0,2603.0,368.0,3359.0,2475.0,7037.0,158.0,110002.0,0.0,0.0,1.0,0.0,1.0,0.7062053417210596,0.0024635915710623443,0.14587916583334848,0.023663206123525026,0.0033453937201141795,0.03053580843984655,0.02249959091652879,0.06397156415337903,0.0014363375211359794,0.16954237195687352,0.19538735659351647,0.17641497427319502,0.29379465827894036,0.2121402,0.22937314,0.23376733,0.25168455,1,1,1.0
13.0,ciudad real,0.08915648,0.18982622,0.09628938,0.21156834,0.10227398,0.1813812,0.10875953,0.19742759,10.0,"¡ 189 .504 119 .312 9 .166 18 .544 8 .191 1.309 , 7 .691 6 841 17 .781 679 Var0nes 178 .076 116 826 9 .075 17 .845 8 .151 1.289 7 .076 6 .740 10.375 5 99",10,189504.0,119312.0,9166.0,18544.0,8191.0,1309.0,7691.0,6841.0,17781.0,679.0,189514.0,10.0,5.27693346842283e-05,1,7.0,29.512 2.299 85 8.322 2 .485 326 3.905 1.628 10.246 216 Var0nes 22.772 2 .257 85 6.135 2 .464 305 3 .158 1.586 6 .587 195,10,11892.0,2009.0,10.0,1557.0,1484.0,111.0,1273.0,1444.0,3973.0,31.0,11892.0,0.0,0.0,1,0.6296014859844647,0.04836837217156366,0.09785545423843296,0.0432233620398514,0.006907505910165485,0.04058489530563999,0.03609950185748058,0.09382915400202635,0.0035830378250591016,0.14107881627828436,0.18408582404593044,0.13844034954407294,0.37039851401553525,0.168937100571813,0.0008409014463504877,0.13092835519677093,0.12478977463841238,0.009334006054490415,0.10704675412041709,0.12142616885301043,0.33409014463504877,0.002606794483686512,0.2557181298351833,0.38647830474268413,0.23797510931718802,0.831062899428187,177612.0,117303.0,9156.0,16987.0,6707.0,1198.0,6418.0,5397.0,13808.0,648.0,177622.0,10.0,5.630250208319258e-05,1.0,0.0,1.0,0.6604452401864739,0.05155057090737113,0.09564106028871923,0.03776208814719726,0.006745039749566471,0.036134945836993,0.030386460374299033,0.0777424948764723,0.003648402134990879,0.1334031484359165,0.170534648559782,0.13177600612571222,0.3395547598135261,0.28365517,0.2789827,0.30618712,0.30785772,1,1,1.0
14.0,cordoba,0.09467356,0.19994769,0.106647454,0.21718885,0.10337603,0.18063542,0.11349587,0.20193358,11.0,275.521 167.752 4 .135 30 .722 13.697 1.394 12.274 7.238 37 .143 1.16 6 Var0nes 246.654 162.858 4.135 27 .926 13.556 1.324 11.315 6.986 17.649 905,10,275521.0,167752.0,4135.0,30722.0,13697.0,1394.0,12274.0,7238.0,37143.0,1166.0,275521.0,0.0,0.0,1,11.0,61.602 17.467 129 11.320 6.365 586 4.936 3 .505 16.997 297 Var0nes 48.693 16.453 129 10.088 6.285 576 4.379 3.366 7.209 208,10,61602.0,17467.0,129.0,11320.0,6365.0,586.0,4936.0,3505.0,16997.0,297.0,61602.0,0.0,0.0,1,0.6088537715818395,0.015007930429985373,0.11150511213301345,0.04971308902043765,0.005059505446045855,0.04454832843957448,0.026270229855437515,0.13481005077652883,0.004231982317137351,0.1612182011534511,0.19254793645493448,0.15605344057258794,0.3911462284181605,0.2835459887665985,0.002094087854290445,0.1837602675237817,0.10332456738417584,0.009512678159800007,0.08012726859517548,0.056897503327814035,0.2759163663517418,0.004821272036622188,0.28708483490795755,0.35349501639557157,0.26388753611895716,0.7164540112334015,213919.0,150285.0,4006.0,19402.0,7332.0,808.0,7338.0,3733.0,20146.0,869.0,213919.0,0.0,0.0,1.0,0.0,1.0,0.7025322668860644,0.018726714317101333,0.09069788097363955,0.034274655360206435,0.003777130596160229,0.03430270335968287,0.017450530340923434,0.09417583290871778,0.004062285257504008,0.12497253633384599,0.14620019727092964,0.12500058433332242,0.2974677331139356,0.28401145,0.29462123,0.31542945,0.3238363,1,1,1.0
15.0,a coruña,0.07707842,0.15790355,0.08713072,0.1782314,0.08284923,0.17219439,0.09849581,0.20766562,13.0,415.028 269.429 792 50.846 21 .713 3.293 17.920 8 .958 43 .578 499 Var0nes 296.536 186.340 772 38.626 21 .502 1.243 14.595 8 .665 24 .546 247,10,415028.0,269429.0,792.0,50846.0,21713.0,1293.0,17920.0,8958.0,43578.0,499.0,415028.0,0.0,0.0,1,13.0,54.245 4.774 61 12.025 8 .744 417 8.367 3.502 16.272 83 Var0nes 40.081 4.653 61 8 .022 8.704 387 6.770 3.360 8 .073 51,10,54245.0,4774.0,61.0,12025.0,8744.0,417.0,8367.0,3502.0,16272.0,83.0,54245.0,0.0,0.0,1,0.6491827057451546,0.001908304981832551,0.1225122160432549,0.05231695210925528,0.0031154524514008693,0.04317780968994863,0.02158408589299999,0.10500014456855923,0.0012023285175939936,0.1748291681525102,0.19952870649691104,0.16569002573320354,0.3508172942548454,0.08800811134666789,0.001124527606230989,0.2216794174578302,0.16119458014563554,0.0076873444557102035,0.1542446308415522,0.06455894552493317,0.29997234768181397,0.001530094939625772,0.38287399760346574,0.45512028758410916,0.3759240482993824,0.9119918886533321,360783.0,264655.0,731.0,38821.0,12969.0,876.0,9553.0,5456.0,27306.0,416.0,360783.0,0.0,0.0,1.0,0.0,1.0,0.7335572906705693,0.002026148682171832,0.10760207659451804,0.03594681567590491,0.0024280523195383376,0.026478520329394677,0.01512266376187348,0.07568538428917106,0.0011530476768583885,0.14354889227042295,0.16109960835183476,0.13408059692391272,0.2664427093294307,0.25504363,0.23498197,0.30616143,0.2653621,1,1,1.0
16.0,cuenca,0.07705459,0.17983344,0.08363082,0.19148049,0.09605819,0.17697264,0.10157062,0.18596835,15.0,116.806 86 .453 273 8.421 4.302 690 3.614 1.623 9.512 1.918 Var0nes 111.580 85 .200 273 8.076 4.282 690 3.389 1.583 6.230 1.855,10,116806.0,86453.0,273.0,8421.0,4302.0,690.0,3614.0,1623.0,9512.0,1918.0,116806.0,0.0,0.0,1,15.0,8.431 895 33 1.731 1.005 109 828 458 3 .088 284 Var0nes 7.004 885 33 1.617 1.005 109 776 448 1.847 Y84,10,8431.0,895.0,33.0,1731.0,1005.0,109.0,828.0,458.0,3088.0,284.0,8431.0,0.0,0.0,1,0.7401417735390305,0.0023372087050322755,0.07209389928599558,0.036830299813365754,0.005907230792938719,0.030940191428522508,0.013894834169477595,0.08143417290207695,0.016420389363560092,0.10892419909936134,0.12872626406177765,0.10303409071451809,0.25985822646096945,0.1061558533981734,0.003914126438144941,0.2053137231645119,0.11920294152532321,0.012928478235084806,0.09820899062981853,0.054323330565769185,0.3662673466967145,0.033685209346459494,0.32451666468983514,0.3917684734906891,0.30352271379433043,0.8938441466018265,108375.0,85558.0,240.0,6690.0,3297.0,581.0,2786.0,1165.0,6424.0,1634.0,108375.0,0.0,0.0,1.0,0.0,1.0,0.7894625144175317,0.0022145328719723185,0.06173010380622837,0.030422145328719723,0.0053610149942329875,0.025707035755478662,0.01074971164936563,0.05927566320645906,0.015077277970011535,0.0921522491349481,0.10826297577854671,0.08743713956170704,0.21053748558246832,0.27303082,0.25688803,0.28753898,0.27511132,1,1,1.0
17.0,gerona,0.07966999,0.15003392,0.08481597,0.16045041,0.076123774,0.14104322,0.08253694,0.1529076,15.0,154.326 64 .036 1.169 44.979 7 .572 959 11.465 4 .995 18.022 1. 129 Var0nes 122.650 61 .215 1.149 27 .660 7 .552 949 8.082 4 .835 10.179 979Mujeres 31.676 2.821 20 17.319 20 10 3.383 110 7 .843 150,10,154326.0,64036.0,1169.0,44979.0,7572.0,959.0,11465.0,4995.0,18022.0,1129.0,154326.0,0.0,0.0,1,15.0,13.093 602 95 3.516 1.056 190 2 .007 928 4.594 105Var0nes. : 9.572 602 95 2.610 1.046 190 1.447 898 2.589 95Mujeres 3.521 - - 906 10 - 560 30 2.005 10 F14rERAS 7.537 1.093 20 2.005 535 121 1.502 424 1.746 91Var0nes 6.110 970 20 1.707 535 111 1.081 424 1.171 91Mujeres 1.427 123 - 298 - 10 421 - 575,10,13093.0,602.0,95.0,3516.0,1056.0,190.0,2007.0,928.0,4594.0,105.0,13093.0,0.0,0.0,1,0.41493980275520653,0.007574873968093516,0.2914544535593484,0.049064966369892306,0.006214118165441987,0.0742907870352371,0.032366548734497104,0.116778767025647,0.007315682386636082,0.3405194199292407,0.3791000868291798,0.36574524059458546,0.5850601972447935,0.045978767280226075,0.007255785534254946,0.26854044145726724,0.08065378446498128,0.014511571068509891,0.153288016497365,0.07087756816619567,0.3508745130986023,0.008019552432597572,0.3491942259222485,0.4345833651569541,0.42182845795463225,0.9540212327197739,141233.0,63434.0,1074.0,41463.0,6516.0,769.0,9458.0,4067.0,13428.0,1024.0,141233.0,0.0,0.0,1.0,0.0,1.0,0.44914432179448144,0.00760445504945728,0.29357869619706445,0.04613652616598104,0.005444903103382354,0.06696735182287426,0.028796386113726962,0.09507692961276755,0.007250430140264669,0.33971522236304547,0.3739565115801548,0.36054604801993867,0.5508556782055185,0.21716699,0.2297039,0.23544455,0.24526638,1,1,1.0
